Ligand,Binding Affinity,rmsd/ub, rmsd/lb
protein_71749454_uff_E=122.64,-10.8,0,0
protein_25235817_uff_E=122.36,-10.7,0,0
protein_25235771_uff_E=124.44,-10.7,0,0
protein_ligand,-10.6,0,0
protein_25235773_uff_E=114.24,-10.6,0,0
protein_146014488_uff_E=505.99,-10.5,0,0
protein_5291_uff_E=488.44,-10.3,0,0
protein_9827642_uff_E=490.68,-10.3,0,0
protein_10239086_uff_E=490.91,-10.3,0,0
protein_44816894_uff_E=109.96,-10.3,0,0
protein_119057347_uff_E=119.62,-10.3,0,0
protein_24897305_uff_E=493.01,-10.2,0,0
protein_9869737_uff_E=472.87,-10.1,0,0
protein_9869737_uff_E=472.87,-10.1,2.42,1.993
protein_4369496_uff_E=470.83,-10,0,0
protein_4369496_uff_E=470.83,-10,2.57,1.966
protein_25235773_uff_E=114.24,-10,2.183,1.843
protein_68027185_uff_E=563.66,-10,0,0
protein_71749455_uff_E=122.37,-10,0,0
protein_9822042_uff_E=380.02,-9.9,0,0
protein_73348902_uff_E=483.29,-9.9,0,0
protein_135029392_uff_E=385.46,-9.9,0,0
protein_71749454_uff_E=122.64,-9.9,1.785,1.381
protein_10181075_uff_E=379.64,-9.7,0,0
protein_9822042_uff_E=380.02,-9.7,2.099,1.46
protein_10239086_uff_E=490.91,-9.7,1.576,1.215
protein_71749455_uff_E=122.37,-9.7,1.722,1.219
protein_119057347_uff_E=119.62,-9.6,2.336,2.074
protein_119057347_uff_E=119.62,-9.6,10.995,2.618
protein_25235817_uff_E=122.36,-9.5,11.34,2.498
protein_25235773_uff_E=114.24,-9.5,11.316,2.484
protein_44816894_uff_E=109.96,-9.5,11.015,2.62
protein_44816894_uff_E=109.96,-9.5,2.502,2.06
protein_25235771_uff_E=124.44,-9.5,11.326,2.512
protein_71749455_uff_E=122.37,-9.5,2.548,1.574
protein_71749454_uff_E=122.64,-9.5,10.864,1.545
protein_29982268_uff_E=498.56,-9.4,0,0
protein_73348902_uff_E=483.29,-9.4,2.373,1.966
protein_69773668_uff_E=553.40,-9.4,0,0
protein_10181075_uff_E=379.64,-9.3,2.443,2.045
protein_29982268_uff_E=498.56,-9.3,2.427,1.776
protein_71749456_uff_E=509.02,-9.3,0,0
protein_135029392_uff_E=385.46,-9.3,2.828,2.298
protein_58223322_uff_E=758.15,-9.3,0,0
protein_25235817_uff_E=122.36,-9.2,1.883,1.678
protein_29980915_uff_E=405.24,-9.2,0,0
protein_71749456_uff_E=509.02,-9.2,2.295,1.727
protein_69716662_uff_E=921.28,-9.2,0,0
protein_25235771_uff_E=124.44,-9.2,2.062,1.696
protein_5291_uff_E=488.44,-9,11.553,2.531
protein_4369496_uff_E=470.83,-9,11.575,2.44
protein_71749457_uff_E=516.91,-9,0,0
protein_29980915_uff_E=405.24,-9,10.716,2.271
protein_9869737_uff_E=472.87,-8.9,11.172,2.707
protein_71749457_uff_E=516.91,-8.9,2.503,1.715
protein_71749454_uff_E=122.64,-8.9,10.74,2.526
protein_71749457_uff_E=516.91,-8.8,11.902,2.849
protein_25235773_uff_E=114.24,-8.8,2.511,2.044
protein_29980915_uff_E=405.24,-8.8,2.466,1.816
